Entity,Code,Year,Coal consumption - TWh,Oil consumption - TWh,Gas consumption - TWh,Nuclear consumption - TWh,Hydro consumption - TWh,Wind consumption - TWh,Solar consumption - TWh,Other renewables (including geothermal and biomass) - TWh
Africa,,1965,323.49615,342.1337,9.571929,0,41.118813,0,,
Africa,,1966,323.1222,370.45,10.698091,0,45.862915,0,,
Africa,,1967,330.29156,369.19354,10.573845,0,47.875538,0,,
Africa,,1968,343.5129,390.3657,10.717145,0,56.00047,0,,
Africa,,1969,346.64288,398.15326,12.520175,0,65.3521,0,,
Africa,,1970,360.7569,435.02704,15.5485,0,81.70287,0,,
Africa,,1971,383.0123,474.3054,18.405262,0,76.92131,0,0,0.52352136
Africa,,1972,384.21082,510.7296,24.670656,0,87.62504,0,0,0.5267136
Africa,,1973,408.9103,549.80396,39.551792,0,92.68892,0,0,0.5426747
Africa,,1974,425.64618,569.7385,44.518486,0,105.46715,0,0,0.5586358
Africa,,1975,451.08047,597.671,53.63838,0,111.53163,0,0,0.54905915
Africa,,1976,481.07413,652.5852,60.98139,0,123.59514,0,0,0.59055775
Africa,,1977,491.69846,695.1952,68.23419,0,135.81085,0,0,0.6033267
Africa,,1978,477.81558,732.366,97.369896,0,136.92912,0,0,0.6224797
Africa,,1979,507.24698,771.1747,148.8428,0,146.56386,0,0,0.64163303
Africa,,1980,543.55707,818.15454,186.91397,0,142.85742,0,0,0.66078633
Africa,,1981,635.79877,885.4927,228.49115,0,148.41988,0,0,0.6959005
Africa,,1982,701.17584,926.532,246.73354,0,148.4593,0,0,0.7533603
Africa,,1983,713.24603,964.7042,271.27533,0,133.79536,0,0,0.7342069
Africa,,1984,762.8979,982.0362,259.90277,11.137245,131.55637,0,0,0.7469758
Africa,,1985,787.16583,1007.3241,278.84274,15.081391,146.22218,0,0,0.8587031
Africa,,1986,805.356,984.45636,313.27118,24.978643,151.23631,0,0,1.9731369
Africa,,1987,828.3197,1038.56,323.38437,17.498955,145.05942,0,0,1.9731369
Africa,,1988,890.16077,1081.7913,358.44452,29.774042,158.47527,0,0,1.8837552
Africa,,1989,835.62085,1117.5557,371.47104,31.493576,166.40814,0,0,1.8550252
Africa,,1990,877.6782,1135.7396,398.64536,23.974163,169.30139,0,0,2.4564898
Africa,,1991,853.76215,1141.6711,401.6356,25.946236,179.3458,0,0,2.5178437
Africa,,1992,858.8312,1163.9397,421.27026,26.35484,171.09227,0,0,2.6294963
Africa,,1993,871.7139,1175.8846,412.64395,20.58617,167.60956,0.005913972,0,2.9341135
Africa,,1994,894.4478,1213.9683,431.82794,27.51538,170.3109,0.015967749,0,2.6102505
Africa,,1995,922.47125,1255.8745,461.2435,32.066753,176.73593,0.018629028,0,3.1447382
Africa,,1996,935.2283,1283.199,484.19174,33.41174,184.26909,0.020994611,0,3.9078012
Africa,,1997,959.01904,1323.6312,474.47552,35.88605,188.81113,0.021290332,0,4.327747
Africa,,1998,937.03894,1354.9565,499.33698,38.593037,197.09778,0.02247311,0,5.3564506
Africa,,1999,966.0107,1404.4688,504.01962,36.42518,209.0126,0.058548413,0,5.315038
Africa,,2000,963.73047,1407.994,556.8223,36.91607,222.53064,0.51895165,0.035309397,7.232071
Africa,,2001,975.9262,1422.8947,634.6361,30.217817,237.57632,1.2208858,0.043949258,7.436979
Africa,,2002,934.42163,1456.7892,670.636,33.585613,248.17819,1.2947483,0.04903564,7.325133
Africa,,2003,1017.0484,1501.1073,711.536,35.24046,239.47658,1.5533037,0.058174383,8.252064
Africa,,2004,1119.1617,1571.3392,783.10583,36.957523,251.33615,2.213917,0.07079313,9.302899
Africa,,2005,1039.0726,1641.0862,808.0279,31.029053,254.37917,2.2345567,0.0841371,9.396595
Africa,,2006,1054.0969,1657.1124,843.74774,27.375378,261.91766,2.4258938,0.10787505,11.809589
Africa,,2007,1071.6333,1719.9576,900.41455,30.707249,269.18546,2.8734944,0.14273654,9.802753
Africa,,2008,1180.7251,1806.7784,935.5027,35.065548,272.4835,3.6861722,0.2041617,10.171823
Africa,,2009,1176.002,1871.0247,941.2384,34.31848,278.0456,4.4382644,0.26760218,10.973952
Africa,,2010,1165.7358,1950.0488,981.41986,36.028275,298.87427,6.3410387,0.5996689,11.492783
Africa,,2011,1147.9299,1916.3331,1061.5934,34.154095,305.47137,6.5835404,1.6609564,12.089014
Africa,,2012,1119.2825,2036.6793,1147.7354,34.119267,304.92633,6.897696,2.7218072,12.520772
Africa,,2013,1131.4148,2110.8115,1170.6193,36.891415,320.25552,9.793645,2.1511917,13.565807
Africa,,2014,1184.3005,2132.531,1203.4098,35.859425,336.39395,13.708232,5.163514,16.062428
Africa,,2015,1120.4587,2192.255,1326.6871,31.62243,324.0321,23.996231,9.722824,20.12022
Africa,,2016,1186.4392,2207.7068,1371.4885,38.599903,312.72516,29.919563,14.239504,20.435162
Africa,,2017,1185.3502,2233.6814,1450.0593,36.245564,333.38794,36.2268,18.50974,21.778883
Africa,,2018,1164.7024,2255.9873,1544.4722,29.399641,354.02264,39.058712,22.178051,23.123674
Africa,,2019,1230.6681,2274.9304,1551.5337,33.520515,364.74646,50.826218,29.34746,23.529425
Africa,,2020,1178.5452,2024.5469,1536.9286,24.957308,388.30878,50.177155,40.154903,22.484821
Africa,,2021,1159.7943,2208.283,1684.705,31.02282,398.66202,59.608654,46.85353,22.461031
Africa,,2022,1103.5779,2329.607,1625.0382,25.268139,408.593,62.29431,47.401512,23.924511
Africa (EI),,1965,323.49615,342.1337,9.571929,0,41.118813,0,,
Africa (EI),,1966,323.1222,370.45,10.698091,0,45.86291,0,,
Africa (EI),,1967,330.2916,369.1935,10.573844,0,47.875538,0,,
Africa (EI),,1968,343.51288,390.3657,10.717145,0,56.000465,0,,
Africa (EI),,1969,346.64288,398.15326,12.520175,0,65.35209,0,,
